Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork
51,No,Unknown,684.0,6,3,Unknown,"162,0",1,M,51.0,3,5, Research Director ,3,Unknown,19537.0,6462,7,No,13,"3,0",3,0,Unknown,5,3,20,15,15,1972,yes
52,No,Unknown,699.0,1,4,Life Sciences,"259,0",3,M,65.0,2,5, Manager ,3,Unknown,19999.0,5678,0,Unknown,14,"3,0",1,1,"34,0",5,3,33,11,9,1971,yes
42,No,travel_rarely,532.0,4,2,Technical Degree,"319,0",3,M,58.0,3,5, Manager ,4,Married,19232.0,4933,1,No,11,"3,0",4,0,"22,0",3,3,22,11,15,1981,yes
47,No,travel_rarely,359.0,2,4,Medical,Unknown,1,F,82.0,3,4, Research Director ,3,Married,17169.0,26703,3,Unknown,19,"3,0",2,2,Unknown,2,3,20,5,6,1976,no
48,No,Unknown,117.0,22,3,Medical,"1900,0",4,F,58.0,3,4, Manager ,4,Unknown,17174.0,2437,3,No,11,"3,0",2,1,Unknown,3,3,22,4,7,1975,yes
59,No,Unknown,1435.0,25,3,Life Sciences,"81,0",1,F,99.0,3,3, Sales Executive ,1,Unknown,6463.923076923077,2354,7,Unknown,11,"3,0",4,0,"28,0",3,2,21,7,9,1964,yes
42,No,travel_rarely,635.0,1,1,Unknown,"387,0",2,M,99.0,3,2, Sales Executive ,3,Married,6463.923076923077,24532,1,No,25,"4,0",3,0,"20,0",3,3,20,11,6,1981,no
41,No,travel_frequently,840.0,9,3,Unknown,"999,0",1,M,64.0,3,5, Research Director ,3,Unknown,6463.923076923077,3735,2,No,17,"3,0",2,1,"21,0",2,4,18,0,11,1982,no
41,No,non-travel,247.0,7,1,Unknown,"1035,0",2,F,55.0,1,5, Research Director ,3,Unknown,19973.0,20284,1,No,22,"4,0",2,2,Unknown,3,3,21,5,10,1982,no
41,Yes,travel_rarely,1360.0,12,3,Unknown,"58,0",2,F,49.0,3,5, Research Director ,3,Married,19545.0,16280,1,No,12,"3,0",4,0,Unknown,0,3,22,15,8,1982,no
40,No,travel_rarely,1398.0,2,4,Unknown,"558,0",3,F,79.0,3,5, Manager ,3,Unknown,18041.0,13022,0,No,14,"3,0",4,0,Unknown,2,3,20,1,12,1983,no
58,Yes,travel_rarely,286.0,2,4,Unknown,"825,0",4,M,31.0,3,5, Research Director ,2,Single,19246.0,25761,7,Yes,12,"3,0",4,0,"40,0",2,3,31,13,8,1965,no
45,No,non-travel,1238.0,1,1,Unknown,"1712,0",3,M,74.0,2,3, Healthcare Representative ,3,Unknown,10748.0,3395,3,Unknown,23,"4,0",4,1,"25,0",3,2,23,14,4,1978,no
33,No,Unknown,515.0,1,2,Life Sciences,"73,0",1,F,98.0,3,3, Research Director ,4,Single,6463.923076923077,15146,1,Yes,12,"3,0",3,0,"15,0",1,3,15,8,12,1990,yes
47,No,Unknown,202.0,2,2,Other,"820,0",3,F,33.0,3,4, Manager ,4,Married,16752.0,12982,1,Unknown,11,"3,0",3,1,Unknown,3,2,26,3,0,1976,no
36,No,Unknown,429.0,2,4,Life Sciences,"1294,0",3,F,53.0,3,2, Manufacturing Director ,2,Single,6463.923076923077,2323,9,Yes,11,"3,0",4,0,"18,0",2,3,16,5,12,1987,no
34,No,non-travel,803.129648241206,10,3,Life Sciences,"1774,0",4,M,87.0,3,2, Sales Executive ,3,Unknown,4001.0,12313,1,Yes,14,"3,0",3,1,"15,0",3,3,15,0,7,1989,yes
41,No,Unknown,803.129648241206,37,1,Unknown,"1815,0",37,F,81.0,3,3, Sales Executive ,3,Divorced,10447.0,26458,0,Unknown,13,"3,0",4,1,Unknown,3,4,22,13,5,1982,yes
47,No,Unknown,1180.0,25,3,Medical,"1993,0",1,M,84.0,3,3, Healthcare Representative ,3,Unknown,6463.923076923077,13084,2,Unknown,23,"4,0",2,0,"25,0",3,3,17,12,11,1976,yes
53,No,travel_rarely,1282.0,5,3,Unknown,"32,0",3,F,58.0,3,5, Manager ,3,Unknown,6463.923076923077,10735,4,Unknown,11,"3,0",4,1,"26,0",3,2,14,4,8,1970,yes
