,ID_FK,Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,DateBirth
0,0,51,No,Unknown,6,3,Unknown,M,Unknown,1972
1,1,52,No,Unknown,1,4,Life Sciences,M,Unknown,1971
2,2,42,No,travel_rarely,4,2,Technical Degree,M,Married,1981
3,3,47,No,travel_rarely,2,4,Medical,F,Married,1976
4,4,48,No,Unknown,22,3,Medical,F,Unknown,1975
5,5,59,No,Unknown,25,3,Life Sciences,F,Unknown,1964
6,6,42,No,travel_rarely,1,1,Unknown,M,Married,1981
7,7,41,No,travel_frequently,9,3,Unknown,M,Unknown,1982
8,8,41,No,non-travel,7,1,Unknown,F,Unknown,1982
9,9,41,Yes,travel_rarely,12,3,Unknown,F,Married,1982
10,10,40,No,travel_rarely,2,4,Unknown,F,Unknown,1983
11,11,58,Yes,travel_rarely,2,4,Unknown,M,Single,1965
12,12,45,No,non-travel,1,1,Unknown,M,Unknown,1978
13,13,33,No,Unknown,1,2,Life Sciences,F,Single,1990
14,14,47,No,Unknown,2,2,Other,F,Married,1976
15,15,36,No,Unknown,2,4,Life Sciences,F,Single,1987
16,16,34,No,non-travel,10,3,Life Sciences,M,Unknown,1989
17,17,41,No,Unknown,37,1,Unknown,F,Divorced,1982
18,18,47,No,Unknown,25,3,Medical,M,Unknown,1976
19,19,53,No,travel_rarely,5,3,Unknown,F,Unknown,1970
20,20,35,No,Unknown,1,4,Marketing,M,Single,1988
21,21,46,No,travel_rarely,1,2,Unknown,F,Divorced,1977
22,22,43,No,Unknown,16,3,Unknown,F,Married,1980
23,23,36,No,Unknown,6,3,Life Sciences,M,Married,1987
24,24,40,No,travel_frequently,5,4,Unknown,M,Married,1983
25,25,32,No,travel_rarely,4,3,Unknown,F,Married,1991
26,26,53,No,Unknown,2,2,Medical,M,Divorced,1970
27,27,36,Yes,travel_rarely,16,4,Unknown,F,Single,1987
28,28,46,No,Unknown,8,4,Life Sciences,F,Divorced,1977
29,29,38,No,travel_rarely,1,4,Unknown,M,Married,1985
30,30,51,No,Unknown,1,4,Unknown,F,Single,1972
31,31,43,No,Unknown,26,2,Unknown,M,Married,1980
32,32,37,No,Unknown,1,3,Life Sciences,F,Single,1986
33,33,32,No,travel_rarely,8,2,Technical Degree,F,Married,1991
34,34,46,No,Unknown,3,3,Life Sciences,F,Unknown,1977
35,35,43,No,Unknown,6,3,Medical,F,Married,1980
36,36,56,No,non-travel,1,4,Life Sciences,M,Divorced,1967
37,37,38,No,Unknown,6,3,Medical,F,Unknown,1985
38,38,49,No,Unknown,26,4,Medical,F,Unknown,1974
39,39,40,No,Unknown,4,4,Unknown,M,Married,1983
40,40,36,No,Unknown,5,2,Unknown,M,Single,1987
41,41,37,No,Unknown,25,5,Unknown,F,Married,1986
42,42,35,No,Unknown,6,4,Unknown,M,Unknown,1988
43,43,33,No,travel_frequently,6,3,Life Sciences,M,Divorced,1990
44,44,50,No,travel_rarely,24,3,Unknown,M,Married,1973
45,45,48,No,travel_rarely,4,4,Unknown,M,Single,1975
46,46,44,No,travel_rarely,28,3,Unknown,F,Married,1979
47,47,44,No,travel_rarely,29,4,Unknown,M,Single,1979
48,48,40,No,Unknown,25,1,Unknown,F,Unknown,1983
